target,import_row_count,target_import_status,target_ready_for_V33,missing_for_V33,valid_real_external_constraint_count,role_context_count,derivation_only_count,invalid_or_excluded_count,ready_for_MD,new_MD_allowed,claim_allowed
XCL1_lymphotactin,2,partial_or_missing_state_specific_external_constraints,False,state_A_real_external_constraint;state_B_real_external_constraint,0,0,0,2,False,False,False
KcsA,2,partial_or_missing_kcsa_coupling_interface_constraints,False,pore_filter_or_external_coupling_constraint;assembly_or_chain_interface_constraint,0,0,0,2,False,False,False
