model_id,threshold,mean_f1,micro_f1,mean_precision,mean_recall,mean_false_contact_rate,mean_long_range_contact_recall,mean_short_range_contact_recall,per_row_f1_std,predicted_contact_count,native_contact_count,true_positive_contacts
current_scalar_score,0.44,0.139178,0.133704,0.106547,0.21645,0.893453,0.125337,0.253531,0.041438,7438,2988,697
current_scalar_score,0.45,0.139178,0.133704,0.106547,0.21645,0.893453,0.125337,0.253531,0.041438,7438,2988,697
current_scalar_score,0.46,0.137514,0.131096,0.106976,0.207969,0.893024,0.125337,0.239559,0.041791,7203,2988,668
current_scalar_score,0.47,0.14662,0.142227,0.124967,0.191776,0.875033,0.093627,0.239559,0.055778,5857,2988,629
current_scalar_score,0.48,0.14662,0.142227,0.124967,0.191776,0.875033,0.093627,0.239559,0.055778,5857,2988,629
current_scalar_score,0.49,0.14662,0.142227,0.124967,0.191776,0.875033,0.093627,0.239559,0.055778,5857,2988,629
current_scalar_score,0.5,0.14662,0.142227,0.124967,0.191776,0.875033,0.093627,0.239559,0.055778,5857,2988,629
current_scalar_score,0.51,0.14662,0.142227,0.124967,0.191776,0.875033,0.093627,0.239559,0.055778,5857,2988,629
current_scalar_score,0.52,0.150906,0.147772,0.130357,0.190882,0.869643,0.091037,0.239559,0.057741,5471,2988,625
current_scalar_score,0.53,0.078854,0.076952,0.075408,0.090884,0.924592,0.091037,0.081325,0.017151,4861,2988,302
current_scalar_score,0.54,0.078854,0.076952,0.075408,0.090884,0.924592,0.091037,0.081325,0.017151,4861,2988,302
current_scalar_score,0.55,0.079031,0.077149,0.0757,0.090884,0.9243,0.091037,0.081325,0.017137,4841,2988,302
current_scalar_score,0.56,0.079031,0.077149,0.0757,0.090884,0.9243,0.091037,0.081325,0.017137,4841,2988,302
current_scalar_score,0.57,0.079297,0.080215,0.093712,0.081794,0.906288,0.075127,0.081325,0.023789,4068,2988,283
current_scalar_score,0.58,0.079297,0.080215,0.093712,0.081794,0.906288,0.075127,0.081325,0.023789,4068,2988,283
current_scalar_score,0.59,0.079297,0.080215,0.093712,0.081794,0.906288,0.075127,0.081325,0.023789,4068,2988,283
current_scalar_score,0.6,0.079297,0.080215,0.093712,0.081794,0.906288,0.075127,0.081325,0.023789,4068,2988,283
current_scalar_score,0.61,0.079297,0.080215,0.093712,0.081794,0.906288,0.075127,0.081325,0.023789,4068,2988,283
current_scalar_score,0.62,0.079297,0.080215,0.093712,0.081794,0.906288,0.075127,0.081325,0.023789,4068,2988,283
current_scalar_score,0.63,0.079297,0.080215,0.093712,0.081794,0.906288,0.075127,0.081325,0.023789,4068,2988,283
current_scalar_score,0.64,0.080524,0.08281,0.096334,0.080393,0.903666,0.070172,0.081325,0.024001,3702,2988,277
current_scalar_score,0.65,0.080524,0.08281,0.096334,0.080393,0.903666,0.070172,0.081325,0.024001,3702,2988,277
current_scalar_score,0.66,0.080524,0.08281,0.096334,0.080393,0.903666,0.070172,0.081325,0.024001,3702,2988,277
current_scalar_score,0.67,0.080524,0.08281,0.096334,0.080393,0.903666,0.070172,0.081325,0.024001,3702,2988,277
current_scalar_score,0.68,0.080524,0.08281,0.096334,0.080393,0.903666,0.070172,0.081325,0.024001,3702,2988,277
current_scalar_score,0.69,0.079108,0.081169,0.102801,0.073521,0.897199,0.051221,0.081325,0.027553,3172,2988,250
current_scalar_score,0.7,0.079108,0.081169,0.102801,0.073521,0.897199,0.051221,0.081325,0.027553,3172,2988,250
current_scalar_score,0.71,0.078251,0.080897,0.102167,0.072815,0.897833,0.051221,0.081325,0.028804,3168,2988,249
current_scalar_score,0.72,0.078251,0.080897,0.102167,0.072815,0.897833,0.051221,0.081325,0.028804,3168,2988,249
current_scalar_score,0.73,0.077513,0.080795,0.101918,0.072109,0.898082,0.051221,0.081325,0.03025,3151,2988,248
current_scalar_score,0.74,0.077513,0.080795,0.101918,0.072109,0.898082,0.051221,0.081325,0.03025,3151,2988,248
current_scalar_score,0.75,0.077513,0.080795,0.101918,0.072109,0.898082,0.051221,0.081325,0.03025,3151,2988,248
current_scalar_score,0.76,0.077513,0.080795,0.101918,0.072109,0.898082,0.051221,0.081325,0.03025,3151,2988,248
current_scalar_score,0.77,0.077513,0.080795,0.101918,0.072109,0.898082,0.051221,0.081325,0.03025,3151,2988,248
current_scalar_score,0.78,0.077513,0.080795,0.101918,0.072109,0.898082,0.051221,0.081325,0.03025,3151,2988,248
current_scalar_score,0.79,0.077513,0.080795,0.101918,0.072109,0.898082,0.051221,0.081325,0.03025,3151,2988,248
current_scalar_score,0.8,0.079742,0.083851,0.107632,0.071042,0.892368,0.048236,0.081325,0.031709,2808,2988,243
current_scalar_score,0.81,0.079742,0.083851,0.107632,0.071042,0.892368,0.048236,0.081325,0.031709,2808,2988,243
current_scalar_score,0.82,0.08159,0.087372,0.112927,0.069814,0.887073,0.043675,0.081325,0.032221,2460,2988,238
current_scalar_score,0.83,0.08159,0.087372,0.112927,0.069814,0.887073,0.043675,0.081325,0.032221,2460,2988,238
current_scalar_score,0.84,0.08159,0.087372,0.112927,0.069814,0.887073,0.043675,0.081325,0.032221,2460,2988,238
current_scalar_score,0.85,0.08622,0.091256,0.139193,0.067627,0.860807,0.037102,0.081325,0.034915,1987,2988,227
current_scalar_score,0.86,0.08622,0.091256,0.139193,0.067627,0.860807,0.037102,0.081325,0.034915,1987,2988,227
current_scalar_score,0.87,0.08456,0.092322,0.153849,0.061039,0.846151,0.024618,0.081325,0.04367,1453,2988,205
current_scalar_score,0.88,0.08456,0.092322,0.153849,0.061039,0.846151,0.024618,0.081325,0.04367,1453,2988,205
current_scalar_score,0.89,0.084608,0.092384,0.15424,0.061039,0.84576,0.024618,0.081325,0.043662,1450,2988,205
current_scalar_score,0.9,0.084608,0.092384,0.15424,0.061039,0.84576,0.024618,0.081325,0.043662,1450,2988,205
current_scalar_score,0.91,0.084608,0.092384,0.15424,0.061039,0.84576,0.024618,0.081325,0.043662,1450,2988,205
current_scalar_score,0.92,0.084608,0.092384,0.15424,0.061039,0.84576,0.024618,0.081325,0.043662,1450,2988,205
current_scalar_score,0.93,0.084608,0.092384,0.15424,0.061039,0.84576,0.024618,0.081325,0.043662,1450,2988,205
current_scalar_score,0.94,0.084608,0.092384,0.15424,0.061039,0.84576,0.024618,0.081325,0.043662,1450,2988,205
current_scalar_score,0.95,0.084608,0.092384,0.15424,0.061039,0.84576,0.024618,0.081325,0.043662,1450,2988,205
current_scalar_score,0.96,0.085854,0.093994,0.160075,0.061039,0.839925,0.024618,0.081325,0.044467,1374,2988,205
current_scalar_score,0.97,0.085854,0.093994,0.160075,0.061039,0.839925,0.024618,0.081325,0.044467,1374,2988,205
current_scalar_score,0.98,0.089148,0.098985,0.184802,0.05981,0.815198,0.020057,0.081325,0.046076,1053,2988,200
current_scalar_score,0.99,0.089148,0.098985,0.184802,0.05981,0.815198,0.020057,0.081325,0.046076,1053,2988,200
current_scalar_score,1.0,0.089148,0.098985,0.184802,0.05981,0.815198,0.020057,0.081325,0.046076,1053,2988,200
pair_only_score,0.0,0.092076,0.061271,0.048921,1.0,0.951079,1.0,1.0,0.047475,94546,2988,2988
pair_only_score,0.01,0.091825,0.06101,0.048824,0.984838,0.951176,0.918828,0.992203,0.047585,93718,2988,2950
pair_only_score,0.02,0.09278,0.061362,0.049404,0.970135,0.950596,0.904168,0.977122,0.048318,91370,2988,2895
pair_only_score,0.03,0.092866,0.061371,0.049458,0.968389,0.950542,0.902668,0.975592,0.048412,91160,2988,2889
pair_only_score,0.04,0.093947,0.062146,0.050205,0.929893,0.949795,0.867893,0.931501,0.049481,86060,2988,2767
pair_only_score,0.05,0.09376,0.062082,0.050115,0.924325,0.949885,0.862945,0.924678,0.049209,85605,2988,2750
pair_only_score,0.06,0.095755,0.063411,0.051461,0.87701,0.948539,0.81572,0.879768,0.050737,78922,2988,2597
pair_only_score,0.07,0.095297,0.063431,0.051231,0.869426,0.948769,0.811825,0.873276,0.04983,78360,2988,2580
pair_only_score,0.08,0.095547,0.064026,0.051588,0.823824,0.948412,0.753198,0.837492,0.049486,73231,2988,2440
pair_only_score,0.09,0.095224,0.063783,0.05143,0.817358,0.94857,0.752091,0.829715,0.049354,72894,2988,2420
pair_only_score,0.1,0.096002,0.064288,0.051957,0.79869,0.948043,0.730496,0.811586,0.04984,70307,2988,2356
pair_only_score,0.11,0.095997,0.06419,0.051966,0.796395,0.948034,0.730496,0.80863,0.050027,70170,2988,2348
pair_only_score,0.12,0.096419,0.064544,0.052237,0.789026,0.947763,0.719791,0.801344,0.050261,69056,2988,2325
pair_only_score,0.13,0.096329,0.064525,0.052196,0.787593,0.947804,0.716115,0.799478,0.050097,69015,2988,2323
pair_only_score,0.14,0.096422,0.064603,0.052311,0.777495,0.947689,0.713137,0.779502,0.049907,68185,2988,2299
pair_only_score,0.15,0.096095,0.064494,0.052143,0.77437,0.947857,0.7065,0.779502,0.049734,68119,2988,2293
pair_only_score,0.16,0.097545,0.065043,0.053137,0.75483,0.946863,0.689745,0.754872,0.051156,65859,2988,2239
pair_only_score,0.17,0.097697,0.065117,0.053235,0.753462,0.946765,0.688639,0.753635,0.051288,65658,2988,2235
pair_only_score,0.18,0.103107,0.068223,0.056762,0.718848,0.943238,0.659065,0.71838,0.055281,59513,2988,2132
pair_only_score,0.19,0.103776,0.068647,0.057176,0.716396,0.942824,0.656276,0.71599,0.055514,58865,2988,2123
pair_only_score,0.2,0.110532,0.074794,0.062165,0.640159,0.937835,0.558225,0.654544,0.057263,47765,2988,1898
pair_only_score,0.21,0.109473,0.074874,0.061853,0.618244,0.938147,0.539293,0.632777,0.055041,46482,2988,1852
pair_only_score,0.22,0.11229,0.083649,0.065763,0.50369,0.934237,0.394877,0.544384,0.048408,33761,2988,1537
pair_only_score,0.23,0.111671,0.083904,0.066064,0.483476,0.933936,0.383045,0.51995,0.047656,32624,2988,1494
pair_only_score,0.24,0.124438,0.096686,0.076927,0.419995,0.923073,0.327952,0.461971,0.05059,23986,2988,1304
pair_only_score,0.25,0.12378,0.095842,0.077981,0.402234,0.922019,0.295576,0.456317,0.04923,23514,2988,1270
pair_only_score,0.26,0.12766,0.100932,0.082786,0.371219,0.917214,0.280755,0.418941,0.048633,20513,2988,1186
pair_only_score,0.27,0.127873,0.101071,0.082972,0.370703,0.917028,0.280755,0.418191,0.048517,20441,2988,1184
pair_only_score,0.28,0.130645,0.103827,0.085629,0.365979,0.914371,0.277311,0.41348,0.049359,19511,2988,1168
pair_only_score,0.29,0.130824,0.1039,0.085856,0.364634,0.914144,0.276663,0.411812,0.049303,19399,2988,1163
pair_only_score,0.3,0.132547,0.107477,0.088051,0.353177,0.911949,0.264807,0.399632,0.047663,18077,2988,1132
pair_only_score,0.31,0.132859,0.107745,0.088336,0.352953,0.911664,0.264807,0.399277,0.047715,18006,2988,1131
pair_only_score,0.32,0.134358,0.110512,0.090483,0.341107,0.909517,0.254918,0.387414,0.046638,16847,2988,1096
pair_only_score,0.33,0.134635,0.110661,0.091013,0.339569,0.908987,0.254918,0.384568,0.046765,16748,2988,1092
pair_only_score,0.34,0.137591,0.114091,0.094394,0.32957,0.905606,0.241842,0.377908,0.048062,15471,2988,1053
pair_only_score,0.35,0.137771,0.11471,0.094576,0.328375,0.905424,0.241448,0.375811,0.047376,15319,2988,1050
pair_only_score,0.36,0.139194,0.121925,0.098138,0.303562,0.901862,0.212208,0.352879,0.045458,12989,2988,974
pair_only_score,0.37,0.139711,0.123018,0.098685,0.300315,0.901315,0.206731,0.350857,0.045105,12652,2988,962
pair_only_score,0.38,0.143902,0.131882,0.107502,0.257771,0.892498,0.135698,0.325865,0.04391,9326,2988,812
pair_only_score,0.39,0.143847,0.131976,0.10856,0.251743,0.89144,0.129379,0.321372,0.043035,8999,2988,791
pair_only_score,0.4,0.149209,0.143805,0.119682,0.218282,0.880318,0.091831,0.287225,0.047659,6511,2988,683
pair_only_score,0.41,0.148998,0.143862,0.120281,0.215689,0.879719,0.084995,0.286331,0.047165,6396,2988,675
pair_only_score,0.42,0.157557,0.153406,0.135626,0.199086,0.864374,0.069263,0.268982,0.054301,5056,2988,617
pair_only_score,0.43,0.157538,0.153904,0.136147,0.197796,0.863853,0.069263,0.266527,0.054425,4991,2988,614
pair_only_score,0.44,0.166825,0.171011,0.158127,0.183419,0.841873,0.052329,0.252144,0.060545,3725,2988,574
pair_only_score,0.45,0.163448,0.171568,0.157245,0.177341,0.842755,0.049617,0.243086,0.064922,3575,2988,563
pair_only_score,0.46,0.178009,0.194939,0.218148,0.154439,0.781852,0.033783,0.216956,0.087319,2070,2988,493
pair_only_score,0.47,0.175641,0.195559,0.224346,0.14935,0.775654,0.031494,0.209777,0.089496,1921,2988,480
pair_only_score,0.48,0.177202,0.200154,0.366873,0.119178,0.633127,0.013259,0.173678,0.10555,899,2988,389
pair_only_score,0.49,0.171362,0.197492,0.375975,0.113827,0.624025,0.004324,0.167774,0.104728,840,2988,378
pair_only_score,0.5,0.144781,0.161652,0.554847,0.084001,0.445153,0.0,0.128004,0.090276,402,2988,274
pair_only_score,0.51,0.140049,0.155944,0.555704,0.080789,0.444296,0.0,0.123509,0.086118,385,2988,263
pair_only_score,0.52,0.104416,0.118939,0.543901,0.057934,0.456099,0.0,0.089237,0.062811,291,2988,195
pair_only_score,0.53,0.102064,0.115632,0.555487,0.056397,0.444513,0.0,0.086866,0.061079,281,2988,189
pair_only_score,0.54,0.084851,0.097184,0.529668,0.04633,0.470332,0.0,0.071582,0.055617,243,2988,157
pair_only_score,0.55,0.084851,0.097184,0.529668,0.04633,0.470332,0.0,0.071582,0.055617,243,2988,157
pair_only_score,0.56,0.08221,0.093789,0.535068,0.044717,0.464932,0.0,0.069201,0.052816,232,2988,151
pair_only_score,0.57,0.081746,0.093255,0.538036,0.044401,0.461964,0.0,0.068771,0.051983,229,2988,150
pair_only_score,0.58,0.073772,0.085625,0.515646,0.03988,0.484354,0.0,0.060832,0.051168,212,2988,137
pair_only_score,0.59,0.073266,0.085027,0.514951,0.039588,0.485049,0.0,0.060438,0.050677,211,2988,136
pair_only_score,0.6,0.066969,0.077383,0.522638,0.035862,0.477362,0.0,0.0551,0.043638,191,2988,123
pair_only_score,0.61,0.066506,0.076826,0.528776,0.035546,0.471224,0.0,0.054671,0.042879,188,2988,122
pair_only_score,0.62,0.061164,0.070841,0.520203,0.032545,0.479797,0.0,0.049648,0.041174,174,2988,112
pair_only_score,0.63,0.060091,0.06962,0.519089,0.031936,0.480911,0.0,0.048825,0.039743,172,2988,110
pair_only_score,0.64,0.054436,0.061783,0.524488,0.02876,0.475512,0.0,0.043749,0.03681,152,2988,97
pair_only_score,0.65,0.052391,0.05933,0.52497,0.027612,0.47503,0.0,0.04214,0.034219,147,2988,93
pair_only_score,0.66,0.043207,0.046527,0.559774,0.022554,0.440226,0.0,0.034149,0.030317,107,2988,72
pair_only_score,0.67,0.041289,0.045278,0.533259,0.021531,0.466741,0.0,0.032053,0.030911,104,2988,70
pair_only_score,0.68,0.028343,0.029431,0.532746,0.014594,0.467254,0.0,0.021839,0.019746,70,2988,45
pair_only_score,0.69,0.02838,0.029441,0.545246,0.014594,0.454754,0.0,0.021839,0.019772,69,2988,45
pair_only_score,0.7,0.019815,0.018439,0.504167,0.010145,0.495833,0.0,0.01517,0.016701,49,2988,28
pair_only_score,0.71,0.019822,0.018445,0.525,0.010145,0.475,0.0,0.01517,0.016702,48,2988,28
pair_only_score,0.72,0.018583,0.016507,0.528869,0.009508,0.346131,0.0,0.014018,0.017206,41,2988,25
pair_only_score,0.73,0.018583,0.016507,0.528869,0.009508,0.346131,0.0,0.014018,0.017206,41,2988,25
pair_only_score,0.74,0.012563,0.010631,0.583333,0.006377,0.291667,0.0,0.009215,0.013485,22,2988,16
pair_only_score,0.75,0.012563,0.010638,0.583333,0.006377,0.166667,0.0,0.009215,0.013485,20,2988,16
pair_only_score,0.76,0.003786,0.002672,0.4375,0.001903,0.1875,0.0,0.002891,0.004738,6,2988,4
pair_only_score,0.77,0.003203,0.002005,0.3125,0.001611,0.0625,0.0,0.002497,0.004879,4,2988,3
pair_only_score,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_only_score,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2988,0
pair_plus_cluster_score,0.0,0.092076,0.061271,0.048921,1.0,0.951079,1.0,1.0,0.047475,94546,2988,2988
pair_plus_cluster_score,0.01,0.095974,0.063714,0.051681,0.867088,0.948319,0.802307,0.873876,0.050387,78281,2988,2589
pair_plus_cluster_score,0.02,0.0963,0.064263,0.051926,0.850278,0.948074,0.782118,0.860504,0.050225,75844,2988,2533
pair_plus_cluster_score,0.03,0.096773,0.064497,0.052255,0.839036,0.947745,0.774158,0.848426,0.050885,74349,2988,2494
pair_plus_cluster_score,0.04,0.097166,0.064751,0.05251,0.828052,0.94749,0.757022,0.837858,0.051224,72779,2988,2453
pair_plus_cluster_score,0.05,0.097014,0.064639,0.052466,0.817207,0.947534,0.744581,0.827633,0.051297,71796,2988,2417
pair_plus_cluster_score,0.06,0.097377,0.064762,0.052725,0.806508,0.947275,0.738842,0.811222,0.051402,70574,2988,2382
pair_plus_cluster_score,0.07,0.097208,0.064771,0.052657,0.799776,0.947343,0.733834,0.803722,0.051101,69946,2988,2362
pair_plus_cluster_score,0.08,0.098682,0.065158,0.053619,0.785834,0.946381,0.726337,0.784741,0.052715,68254,2988,2321
pair_plus_cluster_score,0.09,0.098621,0.06527,0.053629,0.778355,0.946371,0.71797,0.776856,0.052324,67550,2988,2302
pair_plus_cluster_score,0.1,0.100904,0.066468,0.055186,0.75284,0.944814,0.697092,0.744459,0.054245,64232,2988,2234
pair_plus_cluster_score,0.11,0.102247,0.067337,0.056039,0.746592,0.943961,0.691213,0.739368,0.054997,62830,2988,2216
pair_plus_cluster_score,0.12,0.105868,0.069579,0.058464,0.713945,0.941536,0.656326,0.707702,0.057086,57605,2988,2108
pair_plus_cluster_score,0.13,0.107258,0.070632,0.059488,0.695803,0.940512,0.642286,0.69132,0.057641,55201,2988,2055
pair_plus_cluster_score,0.14,0.1091,0.073481,0.061227,0.640869,0.938773,0.574049,0.652581,0.057613,48753,2988,1901
pair_plus_cluster_score,0.15,0.111076,0.075472,0.062764,0.617171,0.937236,0.535517,0.633792,0.058545,45560,2988,1832
pair_plus_cluster_score,0.16,0.112555,0.079378,0.064479,0.564841,0.935521,0.48747,0.588641,0.055861,39593,2988,1690
pair_plus_cluster_score,0.17,0.114077,0.081167,0.06616,0.530379,0.93384,0.448174,0.555757,0.054998,36240,2988,1592
pair_plus_cluster_score,0.18,0.116797,0.085667,0.068726,0.493375,0.931274,0.42248,0.517124,0.052224,31868,2988,1493
pair_plus_cluster_score,0.19,0.119286,0.08907,0.070926,0.469658,0.929074,0.399163,0.495498,0.052378,28942,2988,1422
pair_plus_cluster_score,0.2,0.124534,0.092919,0.075002,0.453096,0.924998,0.380757,0.480627,0.054821,26371,2988,1364
pair_plus_cluster_score,0.21,0.127414,0.095504,0.077499,0.437351,0.922501,0.366152,0.463938,0.056578,24550,2988,1315
pair_plus_cluster_score,0.22,0.128647,0.098406,0.079186,0.419594,0.920814,0.344942,0.449663,0.053224,22925,2988,1275
pair_plus_cluster_score,0.23,0.129646,0.100012,0.080494,0.406928,0.919506,0.332323,0.437964,0.051917,21869,2988,1243
pair_plus_cluster_score,0.24,0.13239,0.102874,0.083239,0.39526,0.916761,0.322373,0.425092,0.052399,20536,2988,1210
pair_plus_cluster_score,0.25,0.133124,0.104212,0.084529,0.384584,0.915471,0.313378,0.41434,0.050421,19754,2988,1185
pair_plus_cluster_score,0.26,0.136152,0.108263,0.087651,0.37405,0.912349,0.303533,0.404204,0.05192,18349,2988,1155
pair_plus_cluster_score,0.27,0.137589,0.110436,0.089628,0.365409,0.910372,0.290133,0.400452,0.049908,17585,2988,1136
pair_plus_cluster_score,0.28,0.134704,0.112482,0.088983,0.341998,0.911017,0.266752,0.382741,0.04658,16144,2988,1076
pair_plus_cluster_score,0.29,0.136556,0.115098,0.09098,0.335929,0.90902,0.260322,0.376674,0.04712,15379,2988,1057
