selector_name,selected_event_count,false_nucleus_rate,contact_cluster_precision,long_range_contact_recall,real_vs_decoy_physical_enrichment_ratio,mean_active_physical_score,survives_targets,native_truth_used_before_active_selection,raw_sequence_exposed
graph_only,320,0.609375,0.043311,0.372496,1.171535,0.280603,False,False,False
physical_rerank,320,0.559375,0.050488,0.405008,1.585882,0.372472,False,False,False
physical_gate,74,0.316338,0.069038,0.088436,1.211277,0.541515,False,False,False
future_frustration_gate,62,0.309455,0.071567,0.070742,1.191637,0.542587,False,False,False
